,Year,Round,Seed 1,Seed 2,Team 1,Team 2,TO 1,TO 2,GP 1,GP 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
92,2022,R1,3,14,Tennessee,Longwood,12.4,12.2,33,32,2415,2444,2071,2081,73.2,76.4,62.8,65,78.8,81.2,35.9,37.9,88,56,Tennessee
93,2022,R1,7,10,Ohio State,Loyola-Chicago,11,12.1,30,32,2214,2362,2054,1975,73.8,73.8,68.5,61.7,63.3,78.1,37.3,38.3,54,41,Ohio State
94,2022,R1,2,15,Villanova,Delaware,10,12.6,33,34,2397,2508,2082,2376,72.6,73.8,63.1,69.9,78.8,64.7,35.9,35.2,80,60,Villanova
95,2022,R1,1,16,Kansas,Texas Southern,12.5,14.9,34,31,2672,2153,2317,2032,78.6,69.5,68.1,65.5,82.4,60,35.5,31.6,83,56,Kansas
96,2022,R1,8,9,San Diego State,Creighton,12.7,14.1,31,33,2024,2278,1788,2176,65.3,69,57.7,65.9,74.2,66.7,35.8,30.7,69,72,Creighton
97,2022,R1,5,12,Iowa,Richmond,9.2,9.8,35,35,2932,2510,2495,2390,83.8,71.7,71.3,68.3,74.3,65.7,36.8,33.7,63,67,Richmond
98,2022,R1,4,13,Providence,South Dakota State,11.7,11,30,34,2154,2948,2010,2495,71.8,86.7,67,73.4,83.3,88.2,34.3,44.9,66,57,Providence
99,2022,R1,6,11,LSU,Iowa State,14.5,13.8,33,32,2413,2127,2097,2016,73.1,66.5,63.5,63,66.7,62.5,31.9,32.1,54,59,Iowa State
100,2022,R1,3,14,Wisconsin,Colgate,8.5,11.3,31,34,2192,2586,2063,2282,70.7,76.1,66.5,67.1,77.4,67.6,31.2,40.3,67,60,Wisconsin
101,2022,R1,7,10,USC,Miami (FL),12,9.6,33,33,2395,2469,2175,2344,72.6,74.8,65.9,71,78.8,69.7,36.1,35.3,66,68,Miami (FL)
102,2022,R1,2,15,Auburn,Jacksonville State,12.1,13.3,32,31,2519,2292,2145,2071,78.7,73.9,67,66.8,84.4,67.7,32,38.8,80,61,Auburn
103,2022,R2,1,9,Gonzaga,Memphis,11.8,16.4,30,32,2640,2402,1967,2173,88,75.1,65.6,67.9,89.7,67.7,37.9,35.9,82,78,Gonzaga
104,2022,R2,12,4,New Mexico State,Arkansas,14,12.6,33,34,2416,2614,2474,2333,73.2,76.9,75,68.6,81.2,75.8,32.7,30.7,48,53,Arkansas
